,gt_len,model_len,obstacle_hit
636fa418-b507-4aa5-aa3e-ce9bcc7402b6.pt,135.0,254.0,59.0
6342e3bc-0878-4c1c-8724-35c74697b807.pt,45.0,,
fd9d7bb9-4b06-428e-9fb4-26b6b4239a53.pt,81.0,,
fe0da01f-fa78-4000-a995-5652914e6d33.pt,146.0,,
0feedd80-8ee1-4b1f-a7d1-3d2566396110.pt,93.0,,
298569f5-ffb0-43f9-99d9-6a319e63af6b.pt,114.0,,
1ec880a1-bc0e-4b86-850b-d97979b5bdd6.pt,137.0,,
1b467c11-b008-4d2b-963b-0fd74ef9118e.pt,125.0,520.0,317.0
19bf0c8c-457d-4a5b-9102-5afe825692b3.pt,72.0,,
de014722-94b3-4060-9a40-b30dad1debf1.pt,126.0,,
4acbe7f6-330a-47e7-8229-02407d597c9a.pt,123.0,,
5b03097a-435f-4713-bc05-050ae99454eb.pt,89.0,,
96638666-785c-4e30-99b0-e141c9148d11.pt,101.0,212.0,37.0
b9e05ceb-e6a3-49d3-b94a-614127d62bac.pt,81.0,,
d6f1cba6-ab7c-4969-b417-adb4d45f3386.pt,65.0,,
c12af3b2-73a7-4b53-b6b1-30d93cc87063.pt,104.0,,
3ade0c15-cfa4-4a4c-9400-1477f4840582.pt,75.0,,
1a389eab-b7a7-49b7-96c7-4f10c634666d.pt,89.0,,
d326f562-af1e-47e6-842a-8719d66848cd.pt,103.0,,
6a1117fd-1265-4c6e-950a-0b1b4b55204e.pt,85.0,,
2adbf6dd-d24b-47b9-ba92-07ae264c37c7.pt,48.0,344.0,58.0
f38784e0-afef-46c7-b0df-7492332330ee.pt,128.0,,
a312340a-b085-43d4-8eab-1a8b1530a8a2.pt,30.0,,
80418af0-009c-4abb-a5f0-8dc88f993ae3.pt,59.0,,
729c805b-739d-48b2-a13b-6e557a5f592d.pt,93.0,,
2a991fef-9015-41a2-b450-f5fe20805238.pt,111.0,,
15583303-85ca-4ee8-939a-91200323e692.pt,77.0,,
a30b4b8f-ff7f-4f94-94a6-8b182bfff54c.pt,99.0,,
cb239b94-5674-469a-a9bb-5ee87e425b3a.pt,73.0,,
8ecf70d4-d4bc-4b7c-b975-0620b6b5c2bc.pt,93.0,,
3a598f95-9696-4711-ab90-5b0084053280.pt,132.0,,
4edc4542-6558-43cb-b377-91fe43c3094c.pt,121.0,,
10a1e31d-dc7e-4476-966e-37a36272d63a.pt,100.0,861.0,143.0
15aa0b10-482f-4a63-8852-3ec04e706882.pt,97.0,,
cd94f611-63f1-4a7a-ac52-6756e2d85fe7.pt,109.0,,
19bfb944-2289-40ef-bc20-70ff1ec81a94.pt,83.0,,
abda112b-a0ab-43f0-828a-3e1ae856be0e.pt,82.0,,
324c6d14-85ca-4288-9ebc-23ec3bd98978.pt,101.0,,
10c64af1-805b-4245-8d7d-8f23749ebfd6.pt,139.0,,
3718bd07-4be6-479b-a373-da0eec5c8fe8.pt,53.0,,
9b5039ce-6863-496a-b585-7289f3fd949b.pt,81.0,,
f7f46a18-c33c-47c0-8163-8fea7a19934f.pt,108.0,,
935c5061-ea10-48b5-afb9-ac51c0f5b29d.pt,87.0,,
cbabe466-9698-4152-8c34-70d4db045c03.pt,88.0,,
53ac6e6d-3b75-41ed-aecb-aff253973974.pt,44.0,,
b8910ca2-2739-47d5-9d5f-a9e490101deb.pt,79.0,,
db1f3a7b-04ae-49be-8465-efbf9416d5ab.pt,97.0,225.0,40.0
b9bd337f-f6de-4efb-b186-bd9141f74536.pt,60.0,,
9b65a924-8408-49bf-a12e-713f1326bd49.pt,119.0,,
11519e48-d9bf-40c2-ad3b-b66e6e478c32.pt,45.0,365.0,39.0
376e4c12-8ae3-4cd8-aaf7-0fe137d117d1.pt,49.0,,
10016f46-fc48-4521-9deb-eaa31531394a.pt,66.0,,
a7c6ad27-7d9f-4770-8935-50f2ac1110b9.pt,106.0,185.0,70.0
