,gt_len,model_len,obstacle_hit
a6cdd7ec-10fc-4378-8ef3-7ba588b339f0.pt,125.0,,
daffe6d6-4a33-4529-a785-e9f2716bf1a6.pt,96.0,,
c41b7f3d-90f0-40f8-8691-023fd3d239de.pt,124.0,,
9220b5b6-8b31-4301-a596-e516c3959a9e.pt,47.0,,
1a16fc7a-bf78-4b2c-b1e1-d6128823c591.pt,64.0,,
763c478d-a2d7-47fb-8d2f-a7dbea19acc9.pt,44.0,,
d15372a4-5c97-4051-be05-a03a6b851506.pt,70.0,,
5506ab37-f385-47e0-8c92-a171e561eb80.pt,83.0,,
a927f8c4-6a7a-4fa8-9480-e36fbbd1b7ac.pt,103.0,501.0,66.0
602b8a69-56c3-4d16-acde-a6327d88811e.pt,81.0,,
a3b2f601-fbbb-49ec-a30f-819ae0e1585c.pt,97.0,,
1d7d35f6-7208-4ca7-b385-b308412887db.pt,101.0,,
c5e6e04e-cfc9-4a94-bb77-655744ae11f6.pt,53.0,,
0146f42e-a829-449f-a8f2-e8c7b303210d.pt,109.0,268.0,35.0
c265a7b5-399b-4b78-b4cf-5700898edddd.pt,108.0,,
0a99220f-7ef8-4256-92cd-d32cd06feb76.pt,120.0,,
54bbf05e-3795-4eb1-bb99-a77e5324b5cf.pt,43.0,,
fbbc405a-7ced-4af3-8b81-6ed08571e3c4.pt,41.0,,
882c7ae4-57d7-44b4-927e-685089d2a19c.pt,122.0,,
60ca4eef-75f3-4a5a-a26a-acfc833b45e1.pt,84.0,,
a4a9016a-0d6d-43db-a1d1-25b01824ea40.pt,103.0,,
768e2ed3-c799-4acf-8e1e-b5e20071ab43.pt,103.0,407.0,71.0
fea98fe8-1eb3-4e0a-b001-07180584c814.pt,116.0,,
3e7b2f1f-8609-485c-bc66-d96c292b2463.pt,75.0,,
66254ee4-7dd3-4ded-8658-c30d806070a4.pt,107.0,,
bf28e313-9eaa-49e3-8eb1-50c8ef4a2f59.pt,43.0,,
a72e6719-08ac-4d5c-bef4-3677889f55ac.pt,90.0,,
4908e9d4-bfe5-4de5-9233-2c6565e3ee78.pt,134.0,213.0,62.0
bdcea7f6-3e33-428f-b9c0-a408307220df.pt,124.0,,
43c0aa66-e924-4c10-b171-3074b59fe81a.pt,173.0,,
9976aecd-ace6-4510-a5f3-27a6a0103223.pt,109.0,,
06d8ac8f-1813-48aa-ac53-d22dc4938536.pt,86.0,706.0,166.0
5d1962b2-3b5d-4647-96b4-4968ea43a3b2.pt,122.0,507.0,144.0
4209ef9b-da4e-4916-83c3-ed0ee6f0c27e.pt,103.0,675.0,226.0
c9496d81-97c8-42aa-8fe8-88920c73ea3a.pt,62.0,456.0,135.0
7a516ea6-deda-47e7-9078-8ca3fbd75c03.pt,61.0,,
54b8cc0b-1606-4cb3-9584-fb90a65ccd78.pt,49.0,,
430449bb-40f8-446a-b4e5-158c2e237675.pt,86.0,,
6dc7e175-aca7-4fcb-94de-5c047e624f1e.pt,109.0,401.0,154.0
8ccd7301-3396-4e6e-a5bc-8f0e2e748efc.pt,150.0,233.0,78.0
11d4762f-b3f6-4580-8ab8-ef1632a298ad.pt,94.0,,
aa87cf30-4581-4e3f-910b-8be77fe0d627.pt,55.0,,
8cc39846-c423-4a30-bd2f-3a720332431a.pt,53.0,,
83dacba7-10a8-4d65-9b7c-08d773362ecb.pt,69.0,,
ecbfc236-a0ae-4ca6-9da6-48549787c90e.pt,84.0,,
a0dc4df6-6b91-4646-973a-4e52f7369c3a.pt,104.0,,
9e843a67-cf4c-427d-9029-c973d01e6b45.pt,89.0,,
eb8d126a-f2da-4a35-900e-723924abc54f.pt,83.0,,
a8a3956b-da4f-4560-b0b3-6da4df313c1d.pt,81.0,392.0,126.0
b0a9cf44-77fa-49fb-b7eb-c6bee10dc2c2.pt,113.0,,
732f2a04-3204-44f1-8e94-c20a5d39456a.pt,65.0,515.0,30.0
004c3512-c767-41c6-98f0-0ea5df680596.pt,52.0,,
75ca7920-0a5f-42ea-a43a-f5984e5b2a23.pt,67.0,,
658861c4-1c5e-43d0-9a5f-cc9653e06453.pt,91.0,,
5f115d3d-3538-44a9-8b02-8104d0dc8d8e.pt,134.0,215.0,96.0
5282280b-f28c-4742-a99b-4e554d35f030.pt,85.0,,
523a9398-be9c-4371-ba3d-d3aec52c712a.pt,86.0,,
d2fba686-08c5-4627-859b-2bc9fbed1c6e.pt,66.0,,
46e41999-5a68-4dfc-b7a3-3f6ce4034739.pt,75.0,,
87f99123-fe76-4be1-86ac-c72cc684a846.pt,77.0,,
5f8e2ddc-4773-4fbe-9d63-9301051ae3e3.pt,72.0,,
e6d8df32-0fd4-485c-9559-8a352298a739.pt,107.0,213.0,32.0
17484270-fe20-45f6-b8fa-e2970adaa1f6.pt,77.0,,
fb10d010-dc78-420c-80df-de523ea705d1.pt,124.0,,
4266e9fe-d222-4f18-9415-b5afcf2bd6d1.pt,108.0,,
d809f967-2302-4995-a3be-bf8d9b6aec4f.pt,113.0,215.0,36.0
e5eb24bb-1007-4728-943a-12293d156f32.pt,91.0,,
f31bd429-99c7-4f63-a299-3d56a4626b13.pt,87.0,,
bd877b5b-3aa9-4943-9434-9621b202cd28.pt,86.0,,
19c511cb-7d2c-4192-a6ba-e590ea3caf64.pt,99.0,192.0,50.0
684c294c-fa12-4161-bc44-118cdc8d8da7.pt,81.0,,
a841fc1f-3658-4d19-8d5b-a9c34aec9562.pt,50.0,,
f4796b97-6cf5-465e-9b1b-18a643bacb1c.pt,106.0,,
813c5873-b37b-450a-b26e-898ff62867aa.pt,102.0,353.0,115.0
8271a3a1-0d88-40c2-b185-55ed43be912f.pt,84.0,,
16e8ae30-1ca5-4877-b6a3-f1da8bda20d0.pt,59.0,,
545f6161-959b-47fe-8f31-680a08ddc10a.pt,62.0,,
1afb7943-1e78-4757-819f-c1dfcb4cdff2.pt,68.0,,
0093192f-d2d1-4401-b3ed-4bd3b988d48c.pt,103.0,445.0,176.0
2b8e5c4a-5de8-4d8f-a1e4-105644634324.pt,72.0,,
037e568b-7f14-48af-99d6-708330b1fb78.pt,58.0,95.0,14.0
186390b4-fe44-453c-a948-9b416df90e90.pt,77.0,,
a73c4920-4213-43b5-b8aa-2aa40c23b2db.pt,95.0,,
c3271849-1ba3-4e3c-8ca1-001205985b72.pt,94.0,,
558d8867-a241-4d17-ae49-6c1e54ab6102.pt,111.0,265.0,153.0
63ca71fd-84c7-4b83-b527-69c300c6550d.pt,111.0,281.0,31.0
0f2b4f01-d545-42e6-92d1-bc26431bcd29.pt,70.0,,
e8dd05d9-702d-4235-bcfc-2b5fb06d1a20.pt,82.0,,
63201def-c686-4e38-b32b-51bf02fecbd8.pt,109.0,405.0,187.0
2d72f8de-405e-4bfa-831f-9200e629cab2.pt,108.0,,
2a8589c1-6547-4e41-bf43-90a7307efd75.pt,44.0,,
4eb2f9ed-7df0-452e-8232-8a8fac40baef.pt,100.0,,
60b8105d-9d3b-46ad-a4dd-e2a4c283aa80.pt,56.0,,
176b6c27-9c5e-4297-a460-1c66eb5f9f80.pt,121.0,213.0,71.0
c890a86a-3bc0-43a9-a930-cca1adc326be.pt,68.0,,
8a2a921c-0362-48fe-9e3a-1d59c0fcc589.pt,82.0,,
58f0a3a7-7776-4955-9a5d-aa12b02193bc.pt,62.0,,
3de2d093-6b11-4e7b-9785-088cecd95953.pt,87.0,,
3a46e732-286f-45c8-b0be-b1431d0a0f15.pt,90.0,,
8e7e0b64-50e8-4df8-956e-b267f0a6cf72.pt,101.0,183.0,29.0
6f161e0f-f733-4eec-a884-7e14b01b6076.pt,90.0,,
9f572cdf-dfeb-4f5a-a9f3-2d1b98844c5b.pt,93.0,,
94fe2a8c-5082-4038-8faa-64476b7fea75.pt,102.0,,
fe7e8744-e4d9-4d6f-a2f3-024e8dc3744f.pt,86.0,,
8605a50f-07da-4d58-aa9b-951a6486060f.pt,99.0,,
fed358fc-81b7-4170-bbe8-34aa869d9f90.pt,103.0,,
5fbba929-601a-4582-b282-8f3fce6d8297.pt,108.0,377.0,139.0
e087e74c-3486-44b7-addf-fd729998dce2.pt,120.0,,
c962f71b-7304-41a1-a6ee-e3cdb054745d.pt,92.0,,
e2b12a4e-0e59-43e9-9ea5-801680ba9782.pt,60.0,,
54fd51fb-4795-4023-b9e0-b59b260d877d.pt,34.0,,
c426e13d-765b-4751-87ec-85d231227c23.pt,101.0,,
57ae7741-c951-45c7-8228-1c81f9e80091.pt,52.0,,
05c9b68e-2f96-4b01-8792-c07dec827e59.pt,88.0,589.0,144.0
8fc5b57b-0a5d-4c29-8dd1-d4254282ef4a.pt,94.0,538.0,171.0
d2fbf332-b8c9-43f7-bf21-8b1d4bcb22da.pt,66.0,,
3a508d68-cf2c-40be-bf53-9806e88e53a8.pt,100.0,,
c6f1a8d7-1cdb-4e4e-9753-62f39fe07a5b.pt,78.0,,
6e671dad-c5e8-42cd-bfb5-4fbf36eb7bec.pt,102.0,211.0,51.0
827c0f3b-4ba6-43d1-b886-bb7d158c83d2.pt,89.0,,
a356134c-0ad9-4719-b199-3678f882c750.pt,109.0,322.0,71.0
cba8f9ca-a42f-4efc-a43f-f7f5a88cc002.pt,78.0,,
f9929b40-e6ac-4480-9926-a67e2148e1f2.pt,91.0,,
c5b89c00-8483-4f1b-af78-ecee569570a7.pt,98.0,,
ed7dcff3-579e-450e-b22e-d6566796093a.pt,110.0,397.0,90.0
f1c0684c-f7bb-4338-8bed-d0ebd4b6007b.pt,62.0,,
e2df2826-c31e-4c86-bebe-e87ff1fb5fe6.pt,87.0,,
6e004c50-a0ec-4c1f-92d2-a81cc7a962fb.pt,108.0,364.0,30.0
6c98fe48-4882-4e9a-92ea-faa308520748.pt,182.0,194.0,56.0
31f527fe-427f-4826-8f23-8b3600bb38fb.pt,86.0,,
4d7f55fb-b66a-4539-8918-da40a1210808.pt,92.0,,
6c42a74a-4808-44f3-94cc-eedd29cbc0cd.pt,113.0,,
fbba7df8-25eb-4926-b7a2-a6110eed8f0a.pt,111.0,,
e635cfc8-1d9a-4f53-af55-3f83ca6d347b.pt,52.0,168.0,20.0
b5dcf84d-95c6-4008-86bf-e63ca07f2c77.pt,92.0,,
48f025cb-d76e-4575-9c18-4a072b2e2bba.pt,109.0,263.0,92.0
3f50ee71-9040-4e0c-99f8-61d1e5d8e9d0.pt,74.0,,
c1cfd1e4-14e7-4d0b-ae5b-ea44b32d62f0.pt,127.0,,
47d6e834-8ad6-4e07-9bc8-dd566f7609d7.pt,42.0,,
a3bae24e-117f-4a9f-8702-00ccd7eb3d95.pt,122.0,,
21eac314-9440-43af-9702-2819b05bc72f.pt,101.0,,
415b3d89-c1ad-445e-9103-aa6b024ff927.pt,84.0,,
20314f54-294d-4797-82d5-ec3af592d7f0.pt,67.0,,
885a3dcc-cce4-42c2-a3a9-701d402db626.pt,99.0,,
b2a3bf53-1723-4d4e-9f96-f6dafebf1038.pt,69.0,,
96e92968-2044-4b97-8aaa-ad61ef15fe74.pt,75.0,,
f73432b2-dd34-43f9-8900-3dca4c35676e.pt,78.0,,
b29b8445-3702-4547-bda7-684ae88ee768.pt,105.0,,
c4d35910-a75f-4955-949f-965d98486db5.pt,37.0,,
f9c4fbab-c21c-4352-a60d-5dd253a8b6d7.pt,90.0,,
484f3553-0186-4258-898c-01a5da5fb3e5.pt,111.0,,
e21619a7-8ce8-4abc-b094-804c88de65dc.pt,91.0,,
73ced876-b0e6-412d-9cdd-67ec61f28f81.pt,97.0,,
1de24263-538e-40dd-b2fc-29aca5565932.pt,107.0,196.0,34.0
cb9e1ad6-da23-4a33-8f4b-10bf9155f61d.pt,70.0,,
09d42147-48be-447f-aa99-87ec8d776544.pt,121.0,,
f162a284-c583-46dd-b93a-90a76736e1a1.pt,62.0,,
cbe353cc-3a1a-49c9-9069-1da2b985b322.pt,104.0,,
85a1c5c8-85bf-49d0-aadf-13bf45db0b03.pt,85.0,,
d99e1701-45c5-4c73-806e-783863bdd077.pt,117.0,243.0,43.0
9a46d729-b239-4ada-90cb-b4c86bd73730.pt,109.0,,
849c5f97-fec0-44e7-a8f4-e2edf30205d4.pt,79.0,,
196db184-45d5-4287-9b83-abb4e4783efb.pt,90.0,,
c2c703ef-910c-4f89-ba94-e063843b463b.pt,130.0,,
dcdd81b4-8582-4b0a-9995-c93e2c93085d.pt,83.0,,
941a5c26-c57a-4dbc-894c-1c853c8430da.pt,55.0,,
b7fc3329-5e28-40d1-82db-778502de37cd.pt,77.0,264.0,44.0
6f1f8fa5-0b05-45f7-84c6-08503f5b1578.pt,101.0,215.0,19.0
f335e133-3336-42d1-86ee-5687a197a0b6.pt,132.0,,
b262d6b4-7023-49a9-b01c-e794b59b72bb.pt,96.0,,
a23a1522-3c55-4cdc-b463-b84296ec348d.pt,106.0,,
b021a92a-d16c-46e1-bb35-7ae9011290d1.pt,142.0,,
18c8916c-2dee-4432-97ac-a7834425fb93.pt,102.0,,
4315b604-3fe6-47b2-94af-b212739c755b.pt,53.0,,
adfbd1bd-9681-4b14-a1b0-2acda29ef57f.pt,98.0,332.0,47.0
4606312c-3ee2-4c46-93c5-c4958dd4ae9e.pt,86.0,,
ff840036-748d-458a-b9d8-c6f927c10fe0.pt,65.0,,
e736506c-a23f-407c-a92f-e23fec830478.pt,87.0,362.0,106.0
727df39b-b206-4884-b0bf-a9e3e9dd7277.pt,71.0,,
6dc0af02-33e1-4bbf-ad2d-e50017db353a.pt,83.0,,
2f5b383e-8d7c-47f6-bb94-d8f169e059b2.pt,57.0,,
1ab9ce6c-2b3b-4ff8-b8c1-b34ca0f1d005.pt,119.0,,
316a9d44-9d83-407e-be53-433680e2e860.pt,107.0,286.0,68.0
6de7d74d-9ee2-489d-a39d-27a0a5e072c1.pt,61.0,405.0,138.0
82f7382a-1b78-41a1-974c-9d06022562ee.pt,115.0,,
48d97519-4e42-42e8-ba68-60c0e45db7ee.pt,141.0,,
cce98ced-477c-450a-adce-c6d9b298bb8a.pt,67.0,380.0,63.0
e90e7897-438a-499f-8b8f-d7d9603e9c08.pt,39.0,,
c011d832-8305-4b36-ab43-a1a4fac8b020.pt,145.0,,
51c8dca8-f49f-4e4e-a71b-97f36801554e.pt,49.0,,
87208896-b065-4b3a-83ca-e695f5de6229.pt,114.0,,
7312646e-dafd-4a8a-8572-e9e655ba19cd.pt,80.0,,
f3408856-ddc7-43f2-82ad-49be76947f4d.pt,56.0,,
cb746253-da74-452b-a760-3a5b517d7439.pt,61.0,,
0b891a02-38aa-49ea-ad53-0774e2d65a37.pt,94.0,,
707ac254-f549-4730-9d21-2b8558e3e58b.pt,107.0,224.0,31.0
7cae18f9-df0e-444c-9884-862ca7111d27.pt,101.0,,
4ab36195-cfda-4224-9482-78ce673c2651.pt,81.0,299.0,67.0
1b8a04bf-9f03-424c-84bb-be292ab187a0.pt,162.0,224.0,121.0
30aa246f-c014-42eb-a1f5-ac9d0d16a772.pt,94.0,,
048e43a6-9cef-42da-b1ee-632b03cf2171.pt,109.0,,
e9e338c6-baaa-4bc6-ae18-afca78ebce7a.pt,107.0,233.0,46.0
aa0ce6bc-37a5-4fff-815c-f32b6a689729.pt,98.0,,
2a3ddb37-a16a-48f2-8802-a53f912801be.pt,41.0,148.0,61.0
32f820d1-7036-4110-9817-13917694671a.pt,92.0,,
f09308d5-c11e-46bb-b3dc-bc1d5b3b8c6e.pt,84.0,,
6785650e-68c7-4a0e-aeab-7abc24993bf9.pt,89.0,367.0,49.0
9bcb33f0-407f-49e3-8f5d-5d63d138e746.pt,82.0,,
38bca28c-5e95-494c-887c-e4873133108b.pt,81.0,,
c45dc73d-1d74-4581-ad18-3c6e164172e4.pt,41.0,,
dd536ce7-749e-4a28-bb92-33d737d63e6b.pt,50.0,,
419c2043-b5b6-4bac-a8b5-7c06b2abd4a7.pt,55.0,,
5f8b9afb-d190-4fdf-acab-531bad2df647.pt,73.0,,
1499380d-7447-485c-8cb5-5fef87eb8380.pt,100.0,346.0,69.0
614376aa-6f2d-4517-a1e6-dc72c0e52b8a.pt,94.0,,
cd3c5421-2ecc-439d-ac39-9ace40e2bc57.pt,66.0,,
4cdaf09a-f969-4452-997c-f75163790e18.pt,105.0,215.0,50.0
b24008c2-614a-48b3-9506-a6d7885e6134.pt,79.0,216.0,17.0
9ad8ba39-2caa-48ee-8fe3-29185101a666.pt,88.0,,
c40b230d-9284-40ec-80ba-90fd250705eb.pt,74.0,,
a4b8884d-dbb2-4296-af5c-6415eef91dcc.pt,73.0,133.0,15.0
07587d61-ca3a-448c-b0e8-58c477708013.pt,26.0,,
8a818cb7-ad69-4e40-8d27-01a94f179a90.pt,143.0,282.0,103.0
6abd6ee0-1707-4ea4-a13a-5b0d2e1fff43.pt,158.0,,
92db2a44-1879-479e-9b57-b16e96d3fa74.pt,42.0,,
e517d2ab-99cb-495c-9c51-78c7be996e6c.pt,151.0,203.0,56.0
27449984-f6ef-4c8f-bdf2-b3871c37e0e1.pt,93.0,514.0,96.0
37a968a8-d011-4d6f-b797-ead86d000b13.pt,50.0,,
0a210444-b308-477a-bbe1-e2bc708bb933.pt,68.0,,
cf2d4beb-11ae-43be-8183-60f309b71ac4.pt,63.0,,
71bc8f1c-2457-4b9a-b607-57a236f393ec.pt,110.0,266.0,49.0
feaf51a6-2dd0-405c-8b95-c3ebcbde2ef2.pt,95.0,,
a48c1663-02f2-4d66-8a5d-4d1cf00493ab.pt,100.0,,
2baf9a7b-ee6c-4551-a55d-9c0f12cbe4cb.pt,90.0,,
5affe409-a953-4e44-b2d6-c52cff5fa0e3.pt,77.0,,
20491105-d8e9-4be3-946b-56efc9d4a2c6.pt,80.0,,
9eedb0dd-4dc2-49b9-8d9b-a1c6d7a1736a.pt,53.0,,
3439f4cf-9ce5-4eb0-96c6-64f87a2f342e.pt,83.0,319.0,126.0
dc013d84-e5f1-4dc8-8809-b99cf3c5fc90.pt,79.0,,
c9f8c3c3-4aa5-4b50-b77d-b2117dfb31bd.pt,87.0,,
2a63b001-76e8-43e3-bc30-a222ee0e4ef4.pt,99.0,,
dcfe6067-d691-4dac-8248-725ca8b18845.pt,55.0,194.0,66.0
f8c992d0-544c-4e9c-a9b2-22ea33cebdb3.pt,147.0,229.0,80.0
dd2b3022-2ddf-4c79-a2b2-8c3113d8f4ac.pt,75.0,334.0,37.0
7780c9f2-7bd5-400b-9645-e659c0e0fe99.pt,98.0,,
18c07ecd-0f94-430c-8400-8fffeb32db58.pt,95.0,439.0,101.0
13159bfd-4de0-4dd2-8aba-799f51434a8f.pt,120.0,,
f2a72460-24a3-4fe7-b9a7-3505a6a5ed1f.pt,83.0,,
54680086-da24-4dd3-874c-cafcb873f52f.pt,113.0,,
e8b88786-957f-4e5b-a135-8c3c944535a2.pt,46.0,,
706b7666-6fc6-47bc-b350-a4c9e0f75c65.pt,58.0,,
e47507cd-8ed1-4ecc-9e96-32e10c58ed58.pt,101.0,193.0,25.0
616738ef-61a4-4ab5-8000-6bbadc668239.pt,102.0,206.0,31.0
144f873d-1ea7-45c9-b66a-7d9156d56b99.pt,99.0,,
0297c1be-965a-4c17-a351-cd6ce5c8f4d2.pt,100.0,,
d3ef0a70-4b2e-4bd5-926d-e58bc46870e6.pt,45.0,,
dbeed041-c172-4edc-8512-8ea0ae8656be.pt,62.0,,
0a478ce1-87a2-418e-913d-6de4494d2640.pt,93.0,,
31a0ea68-a3df-4bc2-aa3e-8664cf5ee5aa.pt,51.0,,
53c32df0-9dfe-4f78-9114-0b5e5084d404.pt,89.0,,
cb0014a2-6762-4661-9c49-0a1cdbf47ccc.pt,97.0,223.0,23.0
376b97d6-578c-4eeb-bd53-f47eb655c520.pt,148.0,214.0,72.0
9a49bb05-703c-4822-a18c-a3113657be38.pt,96.0,,
19de496f-8b41-4d09-9d02-526b1aea01a5.pt,85.0,,
04a5705f-4b40-4526-b0f4-fa437b4b229c.pt,120.0,,
23551d09-b913-4ef4-b2ef-c742c89aeb60.pt,84.0,,
199c55c6-73ce-4c7e-9f38-435159418b93.pt,96.0,413.0,85.0
97f65825-1e4f-4489-a6e4-85dbc0b2c27f.pt,84.0,,
7f101d8b-e10d-466f-96e5-8420d13483ec.pt,90.0,,
fc17ffb8-fd05-48a6-a6ef-8416b8a21ada.pt,93.0,284.0,50.0
ca5375b2-b49d-4f68-aaef-62016b3ef673.pt,98.0,,
646db331-1c7d-4064-b815-f422125381f4.pt,46.0,,
d4cec76f-ff8b-4662-8eae-691feca05e98.pt,99.0,,
629036fc-f87f-4987-a6fc-ba708eeeeda6.pt,97.0,,
6672c83a-1a96-4fc4-9e6d-bd7d46d1c7c8.pt,69.0,,
7aaae578-fc68-4fa2-8e3e-81625fc04385.pt,58.0,,
bfd850a1-b335-4865-a799-1238fae4498d.pt,134.0,184.0,52.0
3119e5ce-66b9-409b-b9b7-05482fb73a87.pt,57.0,,
514b3711-0a13-4572-aa37-77b1c02bc361.pt,104.0,,
9b6f8d27-5df6-4a99-904b-5bb171563812.pt,101.0,225.0,34.0
618d1ec2-1823-4ff0-a0b1-79c520471e51.pt,62.0,,
452b871a-9651-44f5-a927-740cada15684.pt,92.0,,
92c9ac17-a5f5-4cc3-b8e1-04d181d0db89.pt,110.0,,
ba97dda2-31a5-442e-b4ab-cbffaa4cd68f.pt,95.0,,
75537ed1-f862-4fa5-bdf4-063045c58e4b.pt,102.0,,
8e04b488-c9f8-46aa-8e2d-b7b19fa3e021.pt,163.0,187.0,63.0
2f29ec54-8588-44d4-8897-73c93f24ac24.pt,155.0,,
4d670e83-bdfa-4be2-a9c9-7f814d384a61.pt,81.0,,
e2a1d13c-36e8-4e6a-8d00-0f41ac503b06.pt,116.0,488.0,107.0
2bd347f0-bf24-4c39-b576-377ccb33b76a.pt,111.0,220.0,76.0
9ea65233-6239-4326-87f5-0984c36841a3.pt,109.0,217.0,24.0
d5db1ed9-becf-468c-b71b-4e69ac3815ad.pt,30.0,,
199cdc55-f19a-4ff9-8575-dfa0d1c9a05a.pt,133.0,,
9d0d52c7-0757-439c-a74d-7493ed77cbae.pt,61.0,,
439612f6-93fc-4c8d-b8be-9486efa1586d.pt,106.0,,
afb89000-f2d5-4399-871a-998fe1e28819.pt,93.0,,
70083373-8538-4dd3-a514-73d6c0c9a872.pt,55.0,,
9fe66541-2103-4a9c-9c46-9b48b0bb0278.pt,77.0,,
217c9d2b-c99d-440a-b158-d432286fdc62.pt,138.0,387.0,98.0
b3e9b4fc-d18f-4e51-9a16-0a0809bbc334.pt,94.0,,
21fe6220-eab1-4f21-b501-d1e97a179698.pt,96.0,301.0,96.0
c46688e9-7bf3-4e23-b28e-de1c5c54463c.pt,27.0,,
b84ba14b-55f9-4f54-a17d-43cac1d618ef.pt,64.0,,
20bd459c-fcda-45e0-a926-8db5e5d194a6.pt,93.0,,
9a04e26a-caa9-49f5-a9e2-2e839487ab71.pt,65.0,,
78d42a92-30b9-47ed-95c2-36b02fc5ec0d.pt,106.0,,
cf8329bb-72a8-4e22-ace2-2f21b0a7e6d4.pt,44.0,,
0a3eab5e-5662-4231-96c1-a60cbbbdca80.pt,48.0,,
508d4c98-991d-477f-b230-3f1fbb9dcb62.pt,85.0,,
ffa2b1f0-0550-42da-a526-8ff0111b9a65.pt,76.0,,
b8f0dd5b-2331-4ddc-8009-dbed4fdace80.pt,61.0,,
c39ac1f3-474b-4ef2-ab51-5aebdab21ce2.pt,95.0,257.0,74.0
6ebe9f7f-e75b-44d5-8b1c-ebc34a4bffc8.pt,60.0,,
7226277f-d9f9-4609-b674-bdfb60c5be77.pt,105.0,430.0,132.0
8a7e0034-0bef-439c-a0a1-4dcf0095df31.pt,117.0,,
d1dafcfd-f2e9-4bca-8bc2-9eb402c2d7ff.pt,98.0,313.0,92.0
abc8adb4-c5ce-4bad-a4d3-af36d6410642.pt,102.0,,
d4fd9ed5-dc5e-4047-a006-b57311fe70d6.pt,84.0,,
b0b10b0c-c3eb-40d4-8b7c-a433aa37ce26.pt,93.0,,
9e227464-a14a-4323-b0e1-1ba12d42adcf.pt,98.0,,
1d174793-4634-434a-8403-24d3d84ec39f.pt,86.0,,
bbfdd7af-791d-4e62-a823-3c63ea042eea.pt,53.0,,
0a6f3307-b7d0-4fbc-bee2-05fb74cb07aa.pt,111.0,,
bd16c130-e369-438e-803c-664313e37c2b.pt,94.0,366.0,14.0
89be35d2-0d1f-481b-aca9-6b9de72643cd.pt,27.0,,
78e9d6b6-446b-43a0-92f7-bb4c08f55d29.pt,82.0,,
1a77256b-8b5b-4cdb-a05b-afe1dc5f8e27.pt,118.0,,
52383507-88cc-4300-b061-c3be6beaffaf.pt,53.0,,
e90ec6d1-299a-490a-acb5-b2d503941f2d.pt,99.0,233.0,36.0
355030f2-1807-47ef-a896-b381c10d7c40.pt,78.0,,
a0f742d1-46e3-448c-9836-4c3a8bb475d4.pt,55.0,,
c57fff75-ee18-43ff-a4ba-10f0b1d91907.pt,101.0,,
8349d798-91f2-499b-8207-6cdb019d25ed.pt,125.0,,
0fb483ad-60ff-4b4c-90d0-dd0fc3f411f1.pt,124.0,,
b697e457-f117-4624-b9c3-6e204d84c8fb.pt,99.0,483.0,181.0
f1362426-baca-47fe-9801-8898f8b34af9.pt,65.0,,
cb8b6314-fd0a-4a6e-b4fd-deb2ce708e18.pt,119.0,,
ed0dd50a-8e20-449a-bc9d-b0ea6a11df5d.pt,102.0,,
4e884284-b3d6-4014-a52b-281c72bd0e1b.pt,87.0,,
78ea924b-5c50-4c22-b25d-65e6d8a05a12.pt,83.0,,
be2c4500-bc86-40e6-bda5-cae3b4ba361e.pt,96.0,586.0,58.0
4de6781a-e352-4af3-b45d-2e84361321d5.pt,92.0,,
04ecffe3-cabd-4877-8f3c-c29158feb516.pt,98.0,,
b5aaf062-2d7d-45a1-b6ec-1103c9ac4a65.pt,49.0,,
e6a7dfc3-b9c9-44d2-be84-102d9d856e82.pt,116.0,,
78b6485d-11fb-4b06-b94f-701af434971f.pt,131.0,162.0,77.0
b08c1109-1e30-4456-a402-3cc7c4fd1faf.pt,87.0,,
e2b2a036-db9b-43dc-a5c2-7f4b3d58e3c6.pt,93.0,,
7e63a785-56b3-4226-979d-47d9d646585a.pt,102.0,,
773f00e4-3646-4539-8895-bedb5a5236de.pt,88.0,,
181da05c-6f01-4fbb-9b18-19231a403e35.pt,65.0,,
32d33d93-9ae5-47ba-8147-f73c58074061.pt,129.0,228.0,50.0
fa259fa3-01bf-4b1f-95f8-005bb87ab1c4.pt,86.0,,
c832adf2-597f-4096-91b0-ec7869075161.pt,53.0,,
85d172b5-98fc-4940-bd02-4513b6bf9ebe.pt,143.0,,
cfec5c23-8b56-400c-8330-a9200c02e9ed.pt,90.0,420.0,91.0
1988f9ec-d47b-4f88-b72d-7dc1ebf53961.pt,80.0,,
40a6e326-77c9-4c8c-9a43-a58ea625078d.pt,98.0,,
405eca22-a6a0-41e6-8e26-977188d2460a.pt,76.0,,
2e226415-1f09-4880-a3ef-6edb2765b51e.pt,90.0,,
b317052b-ddb2-49c7-ae04-0be949c60ef3.pt,107.0,311.0,65.0
2d1e3299-554a-4189-acc2-72f25ef6c4e3.pt,99.0,,
5bf03c2f-a711-45ee-91d7-48de2c7b3d40.pt,115.0,,
12875550-fa41-4c6f-8d8b-c798d14ca765.pt,109.0,287.0,42.0
1745a372-1d68-4faf-bd95-7c8bde4efac2.pt,88.0,504.0,245.0
044f2f86-c0d1-48d9-b99b-349a30809dc7.pt,95.0,,
c7c21f83-f656-494c-b3b5-323f9f68b202.pt,89.0,,
a093fb28-0b67-4042-a4de-120164711334.pt,96.0,,
d506f7c1-7437-40bf-b401-41d4f2f9ed97.pt,63.0,,
a3b7de05-2c07-4e40-ab70-3f5413d970ad.pt,119.0,,
5d44ccf7-ce30-4775-b7d3-e5c952213cdf.pt,122.0,,
